derain_ret65,0ZL2BH
derain_ret26,NT0I053
derain_ret28,NI3934
derain_ret47
derain_ret102,PAG52I9
derain_ret14,JSC7486
derain_ret87,PJP8209
derain_ret1,AY09034
derain_ret7,J0G922I
derain_ret93,PJY8509
derain_ret22,HYX3I52
derain_ret25,NTK5785
derain_ret106,0LC7676
derain_ret115
derain_ret111,0UQ63I4
derain_ret34,HJ6J8I
derain_ret91,PJV974I
derain_ret13,JRVI942
derain_ret31,NYZ0897
derain_ret88,PJT4984
derain_ret21,MXQI60I
derain_ret56,0UP9563
derain_ret109
derain_ret42,0DJI599
derain_ret40,0CX4764
derain_ret107,0LE5095
derain_ret108,00H9I9I
derain_ret71,PAG52I9
derain_ret80,PJI5396
derain_ret52,0KV8004
derain_ret6
derain_ret76
derain_ret100
derain_ret82,PJI7563
derain_ret105,0LC472B
derain_ret103,NYYI7I0
derain_ret94
derain_ret58,0MAI3I9
derain_ret79,PJH0957
derain_ret89
derain_ret9,J055883
derain_ret69,0ZU2I04
derain_ret73,F53392
derain_ret35,NZM5430
derain_ret2,AZJ699I
derain_ret48,0MM2371
derain_ret41
derain_ret114,PJX572I
derain_ret38,NZU2673
derain_ret61,0ZC8400
derain_ret78,PJG0783
derain_ret51,0KT3896
derain_ret53
derain_ret10,JQV5526
derain_ret66,0ZPBI26
derain_ret104,0LB4809
derain_ret11
derain_ret32,N2F02B4
derain_ret29,NYL36I4
derain_ret70,0ZV6697
derain_ret55,DUPI442
derain_ret30,NYN1544
derain_ret98,PNP0I72
derain_ret90,PJU2853
derain_ret74,PJC4903
derain_ret23,MTD547
derain_ret5
derain_ret75
derain_ret72
derain_ret33,N2F7823
derain_ret46,0KLI235
derain_ret54,0UG6I57
derain_ret36,N206236
derain_ret83,PJJI406
derain_ret20,MTW5608
derain_ret27,HTV0498
derain_ret116
derain_ret77,PJF5797
derain_ret95
derain_ret15,J5Q9S4B
derain_ret8,JPQ9870
derain_ret86,PJP2783
derain_ret99,PYB6477
derain_ret67,0ZK2224
derain_ret59,0VK3653
derain_ret50,0K5007B
derain_ret24,NTH05I8
derain_ret63
derain_ret17,JSP7678
derain_ret84
derain_ret101
derain_ret64,02K6717
derain_ret62,0ZG3580
derain_ret85,PJK4867
derain_ret39,NZW2I97
derain_ret4,GMT218Q
derain_ret12,JRN6296
derain_ret113
derain_ret44,0KK44B
derain_ret110,0UN4297
derain_ret37,MZP8292
derain_ret49,0KP7250
derain_ret16,JSK54I9
derain_ret81,PJI592I
derain_ret45,0KL0BI7
derain_ret96,PWC0633
derain_ret19,JST2699
derain_ret43,0ELII4
derain_ret112,0UW52I6
derain_ret68,0Z5647T
derain_ret97
derain_ret3
derain_ret57
derain_ret92,PJY5472
derain_ret18,J5QI4I3
derain_ret60,0YJ9557
