28_rain,MYI3834
1_rain,AY09034
87_rain,PJP8208
102_rain,PAG52I9
60_rain,0YJ9557
75_rain,
47_rain,
115_rain,
23_rain,NTD9247
36_rain,NZ06276
110_rain,0UN4297
101_rain,
12_rain,JRK5336
88_rain,PJT4884
83_rain,PJJI406
53_rain,
98_rain,PXP8I72
65_rain,
79_rain,PJH0957
54_rain,0UG6I57
66_rain,0ZP8I26
21_rain,MXQI60I
82_rain,PJI7589
38_rain,NZU2673
61_rain,0ZC8400
26_rain,NT0I053
57_rain,
71_rain,PAG52I9
20_rain,MTW5608
100_rain,
30_rain,NYM7544
58_rain,0VAI3I9
96_rain,PWC0633
48_rain,0KM237I
80_rain,PJI5396
114_rain,PJX572I
13_rain,JRVI942
4_rain,GWT218Q
89_rain,PJU2207
11_rain,
33_rain,NZF7823
52_rain,0KV8004
44_rain,440
73_rain,PJB7392
92_rain,PJY5472
67_rain,0ZR2224
45_rain,0KL08I7
8_rain,JPQ9870
10_rain,JQV5526
103_rain,NYYI7I0
78_rain,PJG0783
37_rain,NZP8292
43_rain,
94_rain,
51_rain,0KT3896
40_rain,0CX4764
41_rain,0DC9387
49_rain,0KP7250
91_rain,PJV974I
16_rain,JSK54I9
104_rain,0LB4809
55_rain,0UPI442
97_rain,PWF3266
107_rain,0LE5095
35_rain,
111_rain,
50_rain,0KS0078
22_rain,MYX3I52
6_rain,
46_rain,
17_rain,JSP7678
95_rain,
24_rain,NTH05I8
85_rain,PJK4867
32_rain,
77_rain,PJF5797
19_rain,JST2699
7_rain,J0G922I
5_rain,
27_rain,NTV0498
105_rain,0LC4728
81_rain,PJI592I
72_rain,PAG52I9
42_rain,0DJI599
113_rain,
74_rain,PJC4903
3_rain,FBZ958I
34_rain,NZJ638I
69_rain,0ZU2I04
14_rain,JSC7486
15_rain,JSG964
86_rain,PJP2783
68_rain,0ZS6477
59_rain,
90_rain,PJU2853
56_rain,0UP9563
25_rain,NTK5785
64_rain,0ZK67I7
70_rain,0ZV6697
109_rain,
39_rain,NZW2I97
112_rain,0UW52I6
2_rain,AZJ699I
108_rain,0UH9I9I
62_rain,ZG3580
29_rain,NYL36I4
84_rain,
93_rain,PJY8509
76_rain,
18_rain,PJT2809
31_rain,NYZ0897
116_rain,
99_rain,PYB6477
106_rain,0LC7676
63_rain,
9_rain,JQS5683
